pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_insol,pl_insolerr1,pl_insolerr2,st_spectype,st_teff,st_rad,st_mass,st_met,st_age,st_vsin,sy_dist
Kepler-1167 b,Kepler-1167,1.003933739,2.678e-06,-2.678e-06,0.0175,1.71,0.12,-0.12,3.57,,,3.92,,,1419.0,,,0.0,,,1039.697,79.399,-73.021,,4971.0,0.75,0.79,-0.05,4.27,,820.905
Kepler-1740 b,Kepler-1740,8.172400475,,,0.0779,3.32321414,,,11.0,,,1.65,,,858.0,,,0.0,,,127.95,45.45,-20.22,,5705.0,0.905,0.943,-0.06,,,1061.77
Kepler-1581 b,Kepler-1581,6.28385491,4.246e-05,-4.246e-05,0.06865,0.8,0.14,-0.09,0.437,,,4.69,,,1108.0,,,0.0,,,470.862,13.694,-13.328,,6022.0,1.23,1.12,0.07,4.17,,493.175
Kepler-644 b,Kepler-644,3.173917103,4.229e-06,-4.229e-06,0.04641,3.15,1.16,-0.61,10.1,,,1.78,,,1655.0,,,0.0,,,2381.77,151.194,-140.773,,6747.0,1.81,1.49,0.08,1.62,,1318.05
Kepler-1752 b,Kepler-1752,56.35850143,,,0.2698,4.54060463,,,18.7,,,1.1,,,419.0,,,0.0,,,7.29,4.34,-2.1,,5446.0,0.821,0.824,-0.2,7.2,,962.888
Kepler-280 c,Kepler-280,4.807091,9e-06,-9e-06,0.056,2.01,0.97,-0.97,4.7,,,3.18,,,1088.0,,,0.0,,,279.085,10.032,-9.68,,5744.0,0.886,0.962,0.1213,5.62,,780.361
Kepler-1208 b,Kepler-1208,11.08507637,5.235e-05,-5.235e-05,0.0901,2.32,0.19,-0.14,5.99,,,2.64,,,665.0,,,0.0,,,37.664,3.592,-3.226,,5001.0,0.76,0.8,-0.03,4.47,,825.176
Kepler-263 c,Kepler-263,47.332773,0.000456,-0.000456,0.242,2.47,1.35,-1.35,6.66,,,2.43,,,386.0,,,0.0,,,5.994,0.379,-0.353,,5265.0,0.785,0.793,-0.0314,2.24,,754.747
Kepler-1101 b,Kepler-1101,81.3151059,0.0005693,-0.0005693,0.3483,2.47,0.37,-0.21,6.66,,,2.43,,,393.0,,,0.0,,,3.577,0.177,-0.168,,5614.0,0.91,0.94,-0.04,4.27,,742.473
HD 168746 b,HD 168746,6.404,0.0014,-0.0014,0.07,11.1,,,85.8141,6.3566,-6.3566,0.345,,,900.0,,,0.11,0.08,-0.08,,,,G5,5570.0,1.09,1.07,-0.08,8.0,1.0,41.5681
K2-19 b,K2-19,7.9222,0.0001,-0.0001,0.074,7.0,0.2,-0.2,32.4,1.7,-1.7,0.52,0.05,-0.05,779.0,21.0,-21.0,0.2,0.03,-0.03,87.0,9.0,-9.0,G9 V,5322.0,0.82,0.88,0.06,8.0,3.0,289.827
Kepler-560 b,Kepler-560,18.47764449,1.517e-05,-1.517e-05,0.0899,1.72,0.09,-0.09,3.61,,,3.9,,,298.0,22.0,-32.0,0.17,0.07,-0.04,2.46,0.251,-0.23,,3556.0,0.33,0.34,-0.39,4.07,,109.308
Kepler-150 d,Kepler-150,12.56093,3.6e-05,-3.6e-05,0.104,2.79,0.41,-0.41,8.2,,,2.07,,,734.0,,,0.0,,,65.142,3.173,-3.011,,5560.0,0.939,0.956,0.12,1.74,,891.092
Kepler-498 b,Kepler-498,9.61375356,1.173e-05,-1.173e-05,0.0897,3.03,0.5,-0.34,9.43,,,1.86,,,931.0,,,0.0,,,202.775,8.27,-7.921,,5744.0,0.96,0.98,-0.04,3.89,,938.844
Kepler-817 b,Kepler-817,3.990106229,1.358e-06,-1.358e-06,0.0493,9.03,2.06,-1.13,60.2,,,0.449,,,1124.0,,,0.0,,,550.203,64.653,-56.598,,5861.0,1.03,1.03,0.02,3.55,,1484.46
Kepler-937 b,Kepler-937,67.668827,0.0005833,-0.0005833,0.3214,3.72,1.29,-0.48,13.4,,,1.43,,,495.0,,,0.0,,,20.627,1.899,-1.707,,6095.0,1.22,1.15,0.08,3.24,,1571.46
K2-10 b,K2-10,19.30553,0.00047,-0.00047,0.137,3.773,0.088,-0.048,25.2,8.4,-8.4,2.36,0.88,-0.82,649.0,18.0,-18.0,0.31,0.16,-0.18,42.1,4.8,-4.4,F9,5533.0,0.956,0.88,-0.07,,1.5,272.36
Kepler-571 b,Kepler-571,4.798599388,5.403e-06,-5.403e-06,0.0546,2.64,0.32,-0.17,7.46,,,2.23,,,978.0,,,0.0,,,219.036,8.008,-7.716,,5527.0,0.9,0.93,0.01,4.68,,723.875
Kepler-1458 b,Kepler-1458,47.9872764,0.0001776,-0.0001776,0.24869,2.76,0.42,-0.21,8.05,,,2.1,,,493.0,,,0.0,,,8.293,0.257,-0.249,,5653.0,0.94,0.96,0.02,4.17,,544.45
K2-335 b,K2-335,12.283211,5.1e-05,-5.1e-05,,2.21,0.18,-0.14,5.52,,,2.81,,,949.0,21.0,-26.0,,,,,,,,6222.0,1.33,1.23,0.1,,,557.993
Kepler-1600 c,Kepler-1600,7.298049927,,,0.06961,1.94206512,,,4.43,,,3.32,,,786.0,,,0.0,,,84.7,9.5,-9.5,,5119.0,0.834,0.818,0.1,6.92,,1030.81
Kepler-221 d,Kepler-221,10.04156,1.1e-05,-1.1e-05,0.087,2.73,0.25,-0.25,3.61,0.91,-0.81,0.9,0.23,-0.2,712.0,,,0.0,,,56.293,1.296,-1.269,,5243.0,0.821,0.854,0.0616,1.78,,385.231
Kepler-626 b,Kepler-626,14.48585199,2.363e-05,-2.363e-05,0.10913,2.29,0.28,-0.2,5.86,,,2.68,,,784.0,,,0.0,,,69.795,2.231,-2.163,,5813.0,1.05,1.01,0.01,5.37,,635.643
Kepler-1549 b,Kepler-1549,214.886545,0.003111,-0.003111,0.6687,2.57,0.22,-0.2,7.13,,,2.31,,,286.0,,,0.0,,,1.184,0.058,-0.055,,5324.0,0.84,0.88,0.02,4.79,,803.052
K2-62 c,K2-62,16.19697,0.00065,-0.00065,0.1148,1.99,0.19,-0.07,4.62,,,3.22,,,495.0,12.0,-12.0,,,,14.3,1.4,-1.3,,4455.0,0.696,0.67,-0.1,,,112.467
Kepler-1149 b,Kepler-1149,3.73089898,1.502e-05,-1.502e-05,0.0473,1.44,0.26,-0.17,2.67,,,4.91,,,1128.0,,,0.0,,,653.831,56.841,-51.546,,5833.0,1.01,1.02,0.02,3.98,,1217.73
Kepler-1288 b,Kepler-1288,2.76122421,1.477e-05,-1.477e-05,0.04135,1.12,0.47,-0.16,1.46,,,5.71,,,2017.0,,,0.0,,,1342.5,188.7,-188.7,,6132.0,1.29,1.2,0.14,2.88,,814.078
Kepler-128 b,Kepler-128,15.0,,,0.12545,1.421,0.04,-0.04,3.79,0.76,-0.66,7.222837,1.488676,-1.268132,968.0,,,0.0,,,227.398,5.064,-4.956,,6072.0,1.659,1.184,-0.03,4.07,,396.379
Kepler-1245 b,Kepler-1245,4.35409304,1.933e-05,-1.933e-05,0.0484,1.44,0.12,-0.1,2.67,,,4.91,,,1043.0,,,0.0,,,194.344,9.965,-9.428,,5306.0,0.83,0.86,-0.01,4.57,,805.936
Kepler-1068 b,Kepler-1068,16.92344113,5.446e-05,-5.446e-05,0.13038,3.63,0.89,-0.37,12.8,,,1.47,,,702.0,,,0.0,,,55.933,6.815,-5.94,,5806.0,1.01,1.01,0.03,4.17,,1473.61
Kepler-311 c,Kepler-311,19.738286,0.000205,-0.000205,0.145,1.43,0.28,-0.28,2.63,,,4.94,,,744.0,,,0.0,,,72.456,2.474,-2.376,,5905.0,1.188,0.994,-0.03,1.95,,778.654
Kepler-150 e,Kepler-150,30.826557,0.000199,-0.000199,0.189,3.12,0.55,-0.55,9.91,,,1.79,,,544.0,,,0.0,,,19.671,0.958,-0.909,,5560.0,0.939,0.956,0.12,1.74,,891.092
Kepler-272 c,Kepler-272,6.057342,3.7e-05,-3.7e-05,0.061,1.79,0.96,-0.96,97.8,55.5,-33.9,93.7,,,947.0,,,0.0,,,310.76,12.701,-12.161,,5297.0,0.929,0.91,0.04,13.18,,889.608
Kepler-152 c,Kepler-152,88.255055,0.000309,-0.000309,0.356,2.39,0.16,-0.16,6.3,,,2.54,,,326.0,,,0.0,,,2.57,0.06,-0.059,,5088.0,0.724,0.779,-0.12,2.0,,441.09
Kepler-1506 b,Kepler-1506,14.0329154,0.0002811,-0.0002811,0.1168,1.32,0.19,-0.13,2.3,,,5.5,,,783.0,,,0.0,,,235.807,36.105,-30.277,,5676.0,0.93,0.95,-0.05,3.98,,2366.02
CoRoT-3 b,CoRoT-3,4.2568,5e-06,-5e-06,0.05783,11.32,0.78,-0.78,6883.91,317.8,-317.8,26.4,5.6,-5.6,1695.0,57.0,-57.0,0.0,,,,,,F3 V,6740.0,1.56,1.37,0.14,2.2,17.0,768.771
HD 205739 b,HD 205739,279.8,0.1,-0.1,0.896,13.6,,,435.41,22.25,-28.6,0.951,,,,,,0.27,0.07,-0.07,,,,F7 V,6176.0,1.33,1.22,0.19,2.84,4.48,92.5087
NGTS-10 b,NGTS-10,0.7668944,3e-07,-3e-07,0.0143,13.506845,1.311453,-0.930347,687.14846,29.24036,-34.00781,1.43,0.354,-0.404,1332.0,49.0,-54.0,0.0,,,,,,K5 V,4600.0,0.697,0.696,-0.02,10.4,4.0,324.69865036
HD 224693 b,HD 224693,26.6904,0.0019,-0.0019,0.191,14.0,,,222.481,38.1396,-38.1396,0.446,,,,,,0.104,0.017,-0.017,,,,G2 V,5894.0,1.93,1.31,0.27,4.12,3.5,93.5015
HD 156279 b,HD 156279,133.40355,0.00417,-0.00405,0.502,12.5,,,2997.75753482,242.18524613,-254.58055401,8.43,,,,,,0.647,0.0008,-0.0007,,,,G6,5453.0,0.95,0.94,0.14,4.1,2.51,36.1945
HD 12661 b,HD 12661,262.70862,0.083,-0.083,0.84,13.3,,,772.3269,44.4962,-44.4962,1.8,,,,,,0.38,0.01,-0.01,,,,K0,5645.0,1.2,1.2,0.36,6.39,1.3,37.8478
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,,,55.0,12.9,,,1589.15,635.66,-635.66,4.07,,,1250.0,200.0,-200.0,,,,,,,M8,2825.0,0.21887,0.024,,0.008,,64.308
HD 16417 b,HD 16417,17.24,0.01,-0.01,0.14,5.0,,,22.1,2.0,-2.0,0.972,,,,,,0.2,0.09,-0.09,,,,G1 V,5841.0,1.639984,1.2,0.06,7.0,2.1,25.3936
HD 19994 b,HD 19994,466.2,1.7,-1.7,1.305,13.6,,,435.41,38.14,-38.14,0.951,,,,,,0.063,0.062,-0.062,,,,F8 V,6188.0,1.79647,1.365,0.27,2.4,8.6,22.5242
HD 156279 c,HD 156279,4818.25358,44.45769,-43.09387,5.486,12.5,,,3098.82696825,419.21566883,-192.28618624,8.72,,,,,,0.261,0.006,-0.006,,,,G6,5453.0,0.95,0.94,0.14,4.1,2.51,36.1945
GJ 179 b,GJ 179,2288.0,59.0,-59.0,2.41,13.8,,,301.93698665,50.85254512,-34.96112477,0.631,,,,,,0.21,0.08,-0.08,,,,M3.5 V,3370.0,0.38,0.357,0.3,,1.5,12.356
GQ Lup b,GQ Lup,,,,100.0,33.6,5.6,-5.6,6356.0,,,0.921,,,2650.0,100.0,-100.0,,,,,,,K7e V,4360.0,1.94153,0.7,-0.35,0.001,6.33,151.169
GJ 832 b,GJ 832,3853.0,51.0,-47.0,3.7,13.8,,,314.65012293,28.60455663,-25.42627256,0.658,,,,,,0.05,0.03,-0.03,,,,M2/3 V,3472.0,0.441557,0.45,-0.3,8.1,2.1,4.96435
HD 37605 b,HD 37605,55.01292,0.00062,-0.00062,0.277,13.2,,,854.9627,95.349,-95.349,2.04,,,,,,0.6745,0.0019,-0.0019,,,,K0,5329.0,0.91,0.94,0.27,5.65,1.0,46.7864
HD 33283 b,HD 33283,18.1991,0.0017,-0.0017,0.1508,12.5,,,104.56607,22.56593,-22.56593,0.294,,,,,,0.399,0.056,-0.056,,,,G3/G5 V,5935.0,1.97,1.38,0.35,3.63,3.2,89.8623
HD 9446 b,HD 9446,30.052,0.027,-0.027,0.189,14.0,,,222.472,19.069,-19.069,0.446,,,,,,0.2,0.06,-0.06,,,,G5 V,5793.0,1.0,1.0,0.09,,4.0,50.3503
HD 134987 c,HD 134987,5000.0,400.0,-400.0,5.8,13.9,,,260.0,10.0,-10.0,0.532,,,,,,0.12,0.02,-0.02,,,,G5 V,5585.0,1.25,1.1,0.28,8.4,2.17,26.1804
HD 110014 b,HD 110014,835.477,6.04,-6.04,2.14,12.4,,,3524.59,317.82,-317.82,10.2,,,,,,0.462,0.069,-0.069,,,,K2 III,4445.0,20.9,2.17,0.19,0.95,2.0,100.758
HD 79498 b,HD 79498,1807.0,15.0,-15.0,2.98,13.6,,,425.8922,66.7443,-66.7443,0.93,,,,,,0.575,0.023,-0.023,,,,G5,5748.0,1.05,1.08,0.18,2.71,2.0,48.9489
HD 45652 b,HD 45652,44.073,0.0048,-0.0048,0.237,14.3,,,137.62039,24.15508,-24.15508,0.259,,,,,,0.607,0.026,-0.026,,,,G8/K0,5294.0,0.94,0.92,0.26,8.4,2.0,34.8541
HIP 79431 b,HIP 79431,111.7,0.7,-0.7,0.36,13.4,,,667.415,,,1.52,,,,,,0.29,0.02,-0.02,,,,M3 V,3191.0,0.478625,0.49,0.4,,,14.5324
HD 3167 b,HD 3167,0.959641,1.1e-05,-1.1e-05,0.01796,1.67,0.17,-0.1,4.97,0.24,-0.23,5.6,1.2,-1.3,1774.0,29.0,-29.0,0.0,,,1650.0,110.0,-110.0,K0 V,5261.0,0.88,0.837,0.04,7.8,2.41,47.2899
GJ 876 b,GJ 876,61.1166,0.0086,-0.0086,0.208317,13.3,,,723.2235,1.4302,-1.4302,1.69,,,,,,0.0324,0.0013,-0.0013,,,,M2.5V,3293.74,0.3,0.32,0.2129,1.0,0.16,4.67517
HD 114783 c,HD 114783,4352.0,88.0,-76.0,5.0,13.4,,,603.8739733,158.9142035,-127.1313628,1.38,,,,,,0.05,0.04,-0.03,,,,K1 V,5135.0,0.840622,0.9,0.21,6.0,2.0,21.0628
HD 47186 c,HD 47186,1353.6,57.1,-57.1,2.395,13.0,,,111.42,,,0.279,,,,,,0.249,0.073,-0.073,,,,G6 V,5657.0,1.08,0.96,0.24,6.5,2.2,37.4574
HD 114783 b,HD 114783,493.7,1.8,-1.8,1.16,13.7,,,349.6,19.07,-19.07,0.747,,,,,,0.144,0.032,-0.032,,,,K0,5135.0,0.840622,0.853,0.21,6.0,0.9,21.0628
HD 148156 b,HD 148156,1027.0,28.0,-28.0,2.45,13.9,,,270.144,212.937,-15.8908,0.553,,,,,,0.52,0.04,-0.09,,,,G0/2 V,6308.0,1.21,1.22,0.29,,5.73,57.1289
HD 12661 c,HD 12661,1708.0,14.0,-14.0,2.8145,13.2,,,899.45439181,260.61929374,-212.94503269,2.15,,,,,,0.031,0.022,-0.022,,,,K0,5748.0,1.11,1.02,0.36,6.39,1.3,37.8478
HIP 14810 c,HIP 14810,147.747,0.029,-0.029,0.549,13.6,,,416.3573,57.2094,-57.2094,0.91,,,,,,0.1566,0.0099,-0.0099,,,,G5,5544.0,1.07,1.01,0.24,5.84,0.54,50.48
HIP 14810 b,HIP 14810,6.673892,8e-06,-8e-06,0.0696,13.0,,,1239.537,155.7367,-155.7367,3.1,,,,,,0.14399,0.00087,-0.00087,,,,G5,5544.0,1.07,1.01,0.24,5.84,0.54,50.48
GJ 876 d,GJ 876,1.93778,2e-05,-2e-05,0.02080665,2.51,,,6.83,0.4,-0.4,2.37,,,,,,0.207,0.055,-0.055,,,,M2.5V,3293.74,0.3,0.32,0.2129,1.0,0.16,4.67517
GJ 876 e,GJ 876,124.26,0.7,-0.7,0.3343,3.92,,,14.6,1.7,-1.7,1.33,,,,,,0.055,0.012,-0.012,,,,M2.5V,3293.74,0.3,0.32,0.2129,1.0,0.16,4.67517
gam1 Leo b,gam1 Leo,428.5,1.25,-1.25,1.19,12.5,,,2790.43,317.817,-317.817,7.85,,,,,,0.144,0.046,-0.046,,,,K1 IIIb Fe-0.5,4330.0,31.88,1.23,-0.51,2.412,2.7,39.8883
HD 156411 b,HD 156411,842.2,14.5,-14.5,1.88,14.0,,,235.18,15.89,-12.71,0.471,,,,,,0.22,0.08,-0.08,,,,F8 IV/V,5900.0,2.16,1.25,-0.12,4.28,3.3,56.8655
HD 8535 b,HD 8535,1313.0,28.0,-28.0,2.45,14.0,,,216.1244,22.2481,-12.7132,0.433,,,,,,0.15,0.09,-0.05,,,,G0 V,6136.0,1.19,1.13,0.06,,1.41,55.4401
HD 37605 c,HD 37605,2720.0,15.0,-15.0,3.74,13.1,,,1013.8777,120.7754,-120.7754,2.48,,,,,,0.03,0.012,-0.012,,,,K0,5329.0,0.91,0.94,0.27,5.65,1.0,46.7864
HD 1605 c,HD 1605,2149.0,16.0,-16.0,3.584,13.0,,,1150.5446,73.1009,-73.1009,2.88,,,,,,0.099,0.011,-0.011,,,,K1 IV,4915.0,3.49,1.33,0.22,4.36,0.54,88.8047
BD+20 2457 b,BD+20 2457,379.63,2.01,-2.01,1.45,12.1,,,6807.63,,,21.1,,,,,,0.15,0.03,-0.03,,,,K2 II,4137.0,49.0,2.8,-1.0,,2.5,1539.71
HD 240210 b,HD 240210,501.75,2.33,-2.33,1.16,12.8,,,1655.82,,,4.34,,,,,,0.15,0.02,-0.02,,,,K3 III,4297.0,25.456816,0.82,-0.18,5.085,1.0,372.405
CoRoT-17 b,CoRoT-17,3.7681,0.0003,-0.0003,0.0461,11.43,0.78,-0.78,772.29,95.34,-95.34,2.82,0.38,-0.38,1626.0,31.0,-31.0,0.0,,,,,,G2 V,5740.0,1.59,1.04,0.0,10.7,4.5,1176.12
HD 132563 b,HD 132563,1544.0,34.0,-34.0,2.62,13.6,,,473.547,28.6035,-28.6035,1.03,,,,,,0.22,0.09,-0.09,,,,F8,6289.0,1.29577,1.231,-0.06,2.31,,105.155
HD 55696 b,HD 55696,1827.0,10.0,-10.0,3.18,12.9,,,1357.12729789,317.828407,-219.30160083,3.47,,,,,,0.705,0.022,-0.022,,,,G0 V,6012.0,1.52,1.29,0.37,2.64,7.0,77.9693
HD 148164 b,HD 148164,328.55,0.41,-0.41,0.993,13.7,,,390.9309,79.4575,-79.4575,0.835,,,,,,0.587,0.026,-0.026,,,,F8,6032.0,1.34,1.21,0.24,2.41,4.0,77.1971
24 Sex c,24 Sex,883.0,32.4,-13.8,2.08,13.9,,,273.32,111.24,-69.92,0.559,,,,,,0.29,0.16,-0.09,,,,K0 IV,5098.0,4.9,1.54,-0.03,2.7,2.77,72.0691
HD 22781 b,HD 22781,528.07,0.14,-0.14,1.167,12.3,,,4338.2,308.0,-308.0,12.8,,,,,,0.8191,0.0023,-0.0023,,,,K1,5027.0,0.743475,0.75,-0.37,4.8,1.73,32.6034
HD 68988 b,HD 68988,6.27711,0.00021,-0.00021,0.07,13.4,,,626.1251,31.783,-31.783,1.43,,,,,,0.12,0.01,-0.01,,,,G2 V,5932.0,1.19,1.28,0.35,6.0,2.84,60.8447
HD 148164 c,HD 148164,5062.0,114.0,-114.0,6.15,12.8,,,1640.0028,260.6206,-260.6206,4.3,,,,,,0.125,0.017,-0.017,,,,F8,6032.0,1.34,1.21,0.24,2.41,4.0,77.1971
HD 29985 b,HD 29985,20608.14049,4708.95644,-7737.11195,13.39,12.8,,,1739.47487151,617.85842321,-367.7274669,4.56,,,,,,0.261,0.144,-0.169,,,,,4678.0,0.574666,0.75,-0.22,,,31.2707
HD 3167 c,HD 3167,29.8454,0.0012,-0.0012,0.1776,3.0,0.45,-0.21,11.13,0.78,-0.74,2.11,0.51,-0.69,564.0,9.0,-9.0,0.06,,,16.9,1.1,-1.1,K0 V,5261.0,0.88,0.837,0.04,7.8,2.41,47.2899
HD 90156 b,HD 90156,49.77,0.07,-0.07,0.25,4.43,,,17.98,1.46,-1.46,1.14,,,,,,0.31,0.1,-0.1,,,,G5V,5599.0,0.920286,0.84,-0.24,4.4,0.0,21.9496
HD 45350 b,HD 45350,963.6,3.4,-3.4,1.92,13.5,,,568.89,44.49,-44.49,1.27,,,,,,0.778,0.009,-0.009,,,,G5 V,5566.0,1.26442,0.98,0.23,8.0,1.4,46.8733
MOA-2009-BLG-266L b,MOA-2009-BLG-266L,2800.0,2800.0,-500.0,3.2,3.21,,,10.4,1.7,-1.7,1.73,,,,,,,,,,,,,,,0.56,,,,3040.0
Kepler-595 c,Kepler-595,12.38602,5e-06,-5e-06,0.0983,1.009,0.024,-0.024,3.3,1.7,-1.0,6.9,2.7,-2.3,679.0,,,0.0,,,50.23,9.45,-11.45,,5138.5,0.821,0.93,0.406,2.7,,643.009
Kepler-595 b,Kepler-595,25.3029092,6e-06,-6e-06,0.1582,3.708,0.01,-0.01,17.4,7.1,-3.8,1.23,0.38,-0.35,535.0,,,0.0,,,17.382,0.628,-0.606,,5138.5,0.821,0.93,0.406,2.7,,643.009
HD 177830 c,HD 177830,110.9,0.1,-0.1,0.5137,7.87,,,47.6725,6.35633,-6.35633,0.537,,,,,,0.3,0.1,-0.1,,,,K0,4949.0,2.62,1.47,0.545,4.4,0.68,62.7674
OGLE-TR-111 b,OGLE-TR-111,4.0144463,1e-06,-1e-06,0.0473,11.421971,0.291434,-0.291434,174.799,31.782,-31.782,0.65,0.13,-0.13,1019.0,20.0,-20.0,0.0,,,,,,K2 V,5040.0,0.83,0.82,0.19,8.8,1.0,1068.33
PSR B1257+12 b,PSR B1257+12,25.262,0.003,-0.003,0.19,0.338,,,0.02,0.002,-0.002,2.85,,,,,,0.0,,,,,,,,,1.4,,3.0,,600.0
PSR B1257+12 d,PSR B1257+12,98.2114,0.0002,-0.0002,0.46,1.8,,,3.9,0.2,-0.2,3.67,,,,,,0.0264,0.0009,-0.0009,,,,,,,1.4,,3.0,,600.0
MOA-2007-BLG-192L b,MOA-2007-BLG-192L,,,,0.62,1.63,,,3.3,4.9,-1.6,4.19,,,,,,,,,,,,,,,0.06,,,,1000.0
CoRoT-18 b,CoRoT-18,1.9000693,2.8e-06,-2.8e-06,0.0295,14.68,2.02,-2.02,1102.82,120.77,-120.77,2.2,0.8,-0.8,1550.0,90.0,-90.0,0.08,,,823.7009,,,G9 V,5440.0,1.0,0.95,-0.1,0.6,8.0,764.889
Kepler-45 b,Kepler-45,2.455239,4e-06,-4e-06,0.03,10.76,1.23,-1.23,160.497,28.604,-28.604,0.8,0.5,-0.5,1000.0,20.0,-20.0,0.11,0.1,-0.09,68.37,1.67,-1.3,M,3820.0,0.55,0.59,0.28,0.5,,381.949
WASP-23 b,WASP-23,2.9444256,1.1e-06,-1.3e-06,0.0376,10.783,0.527,-0.628,280.95,27.968,-31.464,1.17,0.24,-0.2,1076.55,,,0.062,,,317.4314,,,,5150.0,0.765,0.78,-0.05,6.2,2.2,207.49
HD 107148 b,HD 107148,48.056,0.057,-0.057,0.269,9.6,,,66.741,11.441,-11.441,0.415,,,,,,0.05,0.17,-0.17,,,,G5 V,5797.0,1.169193,1.12,0.314,5.6,0.73,49.4156
SWEEPS-11 b,SWEEPS-11,1.796,,,0.03,12.666,2.354,-2.354,3082.82,1779.77,-1430.17,8.34,,,,,,,,,,,,,,1.45,1.1,,,,8500.0
OGLE-TR-211 b,OGLE-TR-211,3.67724,3e-05,-3e-05,0.051,15.244,2.018,-1.009,327.351,63.563,-63.563,0.42,0.058,-0.12,1686.0,90.0,-55.0,0.0,,,,,,,6325.0,1.64,1.33,0.11,2.6,,1515.26
Lupus-TR-3 b,Lupus-TR-3,3.91405,4e-05,-4e-05,0.0464,9.976,0.785,-0.785,257.431,57.207,-57.207,1.4,0.4,-0.4,,,,0.0,,,,,,,5000.0,0.82,0.87,,,,773.409
OGLE-2005-BLG-390L b,OGLE-2005-BLG-390L,3285.0,3285.0,-1095.0,2.6,2.21,,,5.5,5.5,-2.7,2.8,,,50.0,,,,,,,,,,,,0.22,,,,6600.0
HN Peg b,HN Peg,,,,773.0,11.7768,1.52663,-0.65427,6991.57,2996.39,-2996.39,23.5,,,,,,,,,,,,G0 V,6186.0,1.006954,1.08,-0.036,0.3,10.0,18.1186
MOA-2009-BLG-387L b,MOA-2009-BLG-387L,1980.0,790.0,-590.0,1.8,13.2,,,830.0,1300.0,-510.0,1.98,,,,,,,,,,,,,,,0.19,,,,5690.0
GJ 674 b,GJ 674,4.6938,0.007,-0.007,0.039,3.33,,,11.09,,,1.65,,,,,,0.2,0.02,-0.02,,,,M2.5,3600.0,0.36463,0.35,-0.28,0.55,1.0,4.54896
CoRoT-11 b,CoRoT-11,2.99433,1.1e-05,-1.1e-05,0.0436,16.03,0.34,-0.34,740.51,108.06,-108.06,0.99,0.15,-0.15,1657.0,55.0,-55.0,0.0,,,1890.649,,,F6 V,6440.0,1.37,1.27,-0.03,2.0,40.0,655.037
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,,,15.0,12.6,,,2383.6,794.5,-794.5,6.55,,,,,,,,,,,,M8.5,2936.0,0.231916,0.019,,0.001,,120.42398696
GJ 3634 b,GJ 3634,2.64561,0.00066,-0.00066,0.0287,2.83,,,8.4,4.0,-1.5,2.04,,,,,,0.08,0.094,-0.057,,,,M2.5,3517.0,0.43,0.45,,5.0,1.0,20.3779
CoRoT-13 b,CoRoT-13,4.03519,3e-05,-3e-05,0.051,9.92,0.157,-0.157,415.704,20.976,-20.976,2.34,0.23,-0.23,1700.0,,,0.0,,,546.5339,,,G0 V,5945.0,1.01,1.09,0.01,1.635,4.0,1148.93
OGLE-TR-10 b,OGLE-TR-10,3.101278,,,0.0434,14.011,1.569,-1.345,197.046,44.494,-44.494,0.4,0.18,-0.12,1702.0,54.0,-54.0,0.0,,,,,,G2 V,5950.0,1.17,1.14,0.28,3.1,7.7,1344.97
HD 27442 b,HD 27442,428.1,1.1,-1.1,1.271,13.5,,,495.8,44.5,-44.5,1.11,,,,,,0.06,0.043,-0.043,,,,K1/2III,4846.0,3.18,1.23,0.42,10.0,2.8,18.2704
GJ 3021 b,GJ 3021,133.71,0.2,-0.2,0.49,13.1,,,1071.04,28.6,-28.6,2.62,,,350.0,90.0,-90.0,0.511,0.017,-0.017,,,,G6 V,5540.0,0.9,0.9,0.1,0.37,5.5,17.5559
CoRoT-8 b,CoRoT-8,6.21229,3e-05,-3e-05,0.063,6.39,0.22,-0.22,69.92,9.53,-9.53,1.6,0.1,-0.1,870.0,14.0,-14.0,0.0,,,,,,K1 V,5080.0,0.77,0.88,0.3,3.0,2.0,322.037
Kepler-18 c,Kepler-18,7.64159,3e-05,-3e-05,0.0752,5.49,0.26,-0.26,17.3,1.9,-1.9,0.59,0.07,-0.07,899.0,,,0.0,,,126.081,3.124,-3.04,,5345.0,1.108,0.972,0.19,10.0,4.0,433.047
Kepler-18 b,Kepler-18,3.504725,2.8e-05,-2.8e-05,0.0447,2.0,0.1,-0.1,6.9,3.4,-3.4,4.9,2.4,-2.4,1165.0,,,0.0,,,355.735,8.815,-8.576,,5345.0,1.108,0.972,0.19,10.0,4.0,433.047
HD 46375 b,HD 46375,3.023573,6.5e-05,-6.5e-05,0.0398,10.0,,,71.8,6.0,-6.0,0.395,,,,,,0.063,0.026,-0.026,,,,K1 IV-V,5285.0,0.914196,0.92,0.24,9.0,0.86,29.5529
