pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_insol,pl_insolerr1,pl_insolerr2,st_spectype,st_teff,st_rad,st_mass,st_met,st_age,st_vsin,sy_dist
Kepler-1580 b,Kepler-1580,56.6449279,0.0008525,-0.0008525,0.33571,2.11,0.3,-0.31,5.1,,,2.98,,,733.0,,,0.0,,,83.088,4.433,-4.187,,6228.0,2.15,1.47,0.12,2.75,,1002.02
Kepler-621 b,Kepler-621,2.628113746,1.772e-06,-1.772e-06,0.031,2.3,0.07,-0.19,5.9,,,2.66,,,737.0,,,0.0,,,69.56,48.7,-32.16,,4521.0,0.68,0.72,-0.02,3.63,,389.0
Kepler-150 c,Kepler-150,7.381998,1e-05,-1e-05,0.073,3.69,0.59,-0.59,13.2,,,1.44,,,876.0,,,0.0,,,132.091,6.433,-6.106,,5560.0,0.939,0.956,0.12,1.74,,891.092
Kepler-1476 b,Kepler-1476,10.35863224,5.885e-05,-5.885e-05,0.0932,1.67,0.37,-0.13,3.43,,,4.05,,,860.0,,,0.0,,,75.641,6.144,-5.624,,5663.0,0.96,0.98,0.06,4.57,,1002.74
Kepler-1513 b,Kepler-1513,160.8842,0.0011,-0.0028,0.56971,8.594,0.036,-0.022,48.30991786,33.05415433,-19.38753283,1.304,0.019,-0.047,346.0,,,0.306,0.093,-0.097,2.23,0.053,-0.052,G V,5491.0,0.95,0.943,0.17,7.0,,349.247
GJ 682 c,GJ 682,57.32,0.45,-0.48,0.176,2.89,,,8.7,5.8,-4.6,1.98,,,,,,0.1,0.19,-0.1,,,,M3.5 V,3028.0,0.298255,0.27,,,,5.00671
7 CMa c,7 CMa,996.0,1.5,-52.4,2.153,13.9,,,276.5121,19.0698,-19.0698,0.566,,,,,,0.08,0.05,-0.04,,,,K1III(+M),4826.0,4.87,1.34,0.21,4.3,1.15,19.8101
K2-348 c,K2-348,12.550171,0.001018,-0.001057,,2.67,0.23,-0.11,7.61,,,2.2,,,655.0,7.0,-9.0,,,,,,,,5077.0,0.85,0.83,0.13,,,201.856
Kepler-301 b,Kepler-301,2.508553,1.2e-05,-1.2e-05,0.036,1.35,0.72,-0.72,2.39,,,5.34,,,1278.0,,,0.0,,,665.437,25.707,-24.729,,5815.0,0.9,1.022,0.187,1.45,,719.166
Kepler-1749 b,Kepler-1749,14.53409958,,,0.0956,1.61301783,,,3.23,,,4.23,,,420.0,,,0.0,,,7.34,1.33,-1.54,,3957.0,0.553,0.551,-0.16,3.72,,268.2
BD+55 362 b,BD+55 362,265.59,1.04,-1.04,0.78,14.0,,,228.83645304,25.42627256,-25.42627256,0.458,,,,,,0.27,0.06,-0.06,,,,K3,5012.0,0.896193,0.909,0.18,,2.0,52.5697
HD 124330 b,HD 124330,270.66,1.21,-1.21,0.86,14.0,,,238.37130525,19.06970442,-19.06970442,0.477,,,,,,0.34,0.05,-0.05,,,,G4 IV,5873.0,1.30446,1.15,0.22,,3.2,60.1977
Kepler-327 c,Kepler-327,5.212333,1.9e-05,-1.9e-05,0.047,1.03,0.05,-0.05,20.3,27.1,-17.7,102.0,,,537.0,,,0.0,,,28.272,2.886,-2.648,,3799.0,0.492,0.591913,-0.2,3.28,,241.987
Kepler-329 b,Kepler-329,7.416397,4.6e-05,-4.6e-05,0.061,1.4,0.25,-0.25,2.54,,,5.09,,,547.0,,,0.0,,,40.689,1.652,-1.571,,4257.0,0.523,0.602,-0.44,3.47,,439.719
Kepler-336 c,Kepler-336,9.600001,3.5e-05,-3.5e-05,0.092,2.1,0.37,-0.37,5.06,,,3.0,,,967.0,,,0.0,,,206.91,95.83,-74.6,,5867.0,1.304,1.09,0.337,4.9,,768.86
Kepler-1392 b,Kepler-1392,15.1410397,0.0001135,-0.0001135,0.1189,1.96,0.22,-0.16,4.5,,,3.28,,,714.0,,,0.0,,,61.42,57.53,-18.51,,5479.0,0.85,0.88,-0.11,4.68,,1117.0
Kepler-1934 b,Kepler-1934,1.419759989,,,0.02466,0.91307734,,,0.702,,,5.07,,,1700.0,,,0.0,,,1835.6,122.0,-122.0,,5925.0,1.035,0.968,-0.14,3.16,,428.514
Kepler-1965 b,Kepler-1965,41.86869812,,,0.22971,1.35415138,,,2.4,,,5.31,,,492.0,,,0.0,,,13.8,1.0,-1.0,,5852.0,0.837,0.928,-0.3,4.57,,521.791
Kepler-1696 b,Kepler-1696,65.9409,,,0.3244,2.80982017,,,8.29,,,2.05,,,454.0,,,0.0,,,10.04,8.25,-3.28,,5712.0,1.19811,1.02,-0.04,,,1506.36
Kepler-1660 AB b,Kepler-1660 A,239.5044,0.0686,-0.0686,0.8,12.9,,,1586.59940774,73.10053361,-73.10053361,4.06,,,,,,0.05541,0.00147,-0.00147,,,,F7 V,6305.24,1.491,1.1366,-0.36,,,1188.54
WASP-167 b,WASP-167,2.0219596,6e-07,-6e-07,0.0365,17.71022,0.56045,-0.56045,2542.64,,,,,,2329.0,64.0,-64.0,,,,3208.41,,,F1 V,7000.0,1.79,1.59,0.1,1.29,49.94,423.552
Kepler-299 c,Kepler-299,6.885875,4e-05,-4e-05,0.07,2.65,0.63,-0.63,7.51,,,2.22,,,946.0,,,0.0,,,198.554,13.071,-12.17,,5617.0,1.032,1.004,0.12,3.24,,1052.24
