59732.984348    2.0  13.6
59734.020205   -9.2  15.2
59735.057384    2.5  16.3
59735.989706    4.8  18.3
59736.952200    5.0  14.4
59737.989713  -18.2  17.6
59739.990203    4.4  13.1
59740.992623   10.5  13.3
59741.975125    5.4  13.3
59742.863528  -22.7  18.3
59743.885765   -4.7  16.9
60041.097774    5.7  15.2
60042.064745  -19.9  14.2
60046.014830    3.0  17.4
60047.129880   12.1  15.1
60065.024734   13.9  15.4
60068.068199   16.6  21.4
60068.958086   19.6  13.0
60070.006293   15.0  16.8
60073.034667   -3.9  19.4
60075.033330   -0.6  15.5
60096.974894  -10.1  19.6
60099.001308    7.0  16.6
60099.990419   15.4  13.4
60100.928377   -5.6  14.8
60101.872059   29.2  15.0
60102.982943  -11.1  13.1
60104.861885  -11.2  11.7
60123.959395    3.7  14.2
60125.953965    5.0  11.8
60127.014348    1.5  12.4
60127.928144   -1.1  12.7
60128.990350   18.2  15.8
60130.929113   17.6  15.1
60131.925602    4.8  12.3
60132.929669    5.1  14.6
60142.924095  -52.8  22.2
60143.915752   11.5  20.3
60145.915627   48.8  20.3
60146.906089    3.9  13.8
60147.898566   34.3  13.3
60148.900798    0.5  19.5
60150.879363  -10.3  14.8
60151.854452  -32.3  21.5
60152.852199  -28.9  14.9
60158.906215  -23.4  15.2
60181.751325  -10.4  14.2
60184.749512   -1.2  12.4
60387.107621  -14.4  12.7
60388.140378   -4.2  12.9
60389.096819  -26.0  11.6
60391.095390  -46.6  18.1
60392.119643  -16.5  13.5
60393.106537  -17.4  14.2
60395.112602  -38.2  14.1
60397.081036  -33.1  14.7
60399.066437  -13.0  13.5
60400.058423  -58.7  12.8
60401.095742  -22.8  12.4
60402.059504   -3.1  11.2
60403.128999  -31.6  12.9
60405.101678  -39.7  13.9
60423.039177   11.8  12.9
60424.984654    2.5  10.2
60427.975323   25.3  12.2
60429.015455   34.9  13.0
60429.999203   42.1  24.1
60432.034065   11.5  12.9
60486.041755    9.9  14.5
60516.909468    5.8  14.6
60517.929348    4.1  14.3
60538.826371  -24.8  13.0
60539.796335   -4.0  16.2
60540.756978  -10.2  12.5
60542.761599   -4.1  14.9
60543.762376  -29.7  15.5
60571.752211   -0.2  12.2
60573.723855   12.1  13.2
60575.730832    6.0  17.9
60577.736484   -1.5  16.6
