59732.98434756708  -35120.3   3.0     992293   14128  170.9   1.3
59734.02020470030  -35115.3   3.1    1001267   14450  171.1   1.4
59735.05738419050  -35113.6   3.1     961413   14480  166.0   1.4
59735.98970548902  -35115.5   3.3    1062749   15359  176.6   1.5
59736.95220005803  -35113.3   3.0    1014372   14366  170.8   1.4
59737.98971346591  -35111.4   3.2    1063355   15109  176.6   1.4
59739.99020253296  -35113.7   2.9    1014894   13705  172.8   1.3
59740.99262308888  -35111.0   2.9    1024736   13823  172.3   1.3
59741.97512484866  -35110.8   3.0    1032519   13946  172.1   1.3
59742.86352771136  -35116.7   3.3    1052740   15257  177.4   1.5
59743.88576522900  -35114.8   3.4    1110777   15727  183.2   1.5
60041.09777364228  -35116.4   3.1     946000   14352  164.1   1.4
60042.06474517798  -35120.0   3.0     957420   13944  166.5   1.3
60043.05063428901  -35115.9   4.3     964210   17454  169.6   1.6
60046.01482945331  -35119.2   3.1    1040561   14863  176.1   1.4
60047.12987978884  -35117.8   3.2     975420   14747  168.2   1.4
60065.02473419556  -35106.7   3.1    1056969   14403  178.4   1.4
60068.06819853780  -35132.8   3.5    1063364   16728  178.0   1.6
60068.95808647480  -35123.8   3.0    1016972   14274  173.8   1.4
60070.00629274105  -35112.2   3.2    1059854   15220  178.9   1.4
60073.03466749634  -35116.2   3.1     988947   14821  168.4   1.4
60075.03332981083  -35114.0   3.0    1004146   13908  170.2   1.3
60096.97489405877  -35116.9   3.3    1042465   15762  176.6   1.5
60099.00130755489  -35108.5   3.1    1023983   14723  174.0   1.4
60099.99041926686  -35112.1   3.0     968226   14128  166.0   1.3
60100.92837747885  -35109.3   3.1    1056040   14517  175.7   1.4
60101.87205950753  -35107.6   3.0    1095072   14305  179.8   1.4
60102.98294274486  -35108.5   2.8     999359   13397  166.6   1.3
60104.86188542855  -35116.4   3.0     980791   13981  167.0   1.3
60123.95939544379  -35115.8   3.0    1029193   13884  173.8   1.3
60125.95396451640  -35113.5   2.9    1063697   13573  177.8   1.3
60127.01434843592  -35117.5   3.0     999055   14019  172.7   1.3
60127.92814397090  -35115.1   2.9    1037628   13668  178.1   1.3
60128.99034965702  -35112.0   3.1    1032269   14547  174.7   1.4
60130.92911273846  -35111.1   3.0    1000750   13933  171.2   1.3
60131.92560181371  -35107.6   2.9    1048979   13809  176.2   1.3
60132.92966887320  -35113.3   3.0    1046981   13926  173.9   1.3
60142.92409481015  -35124.3   3.8    1119226   17861  182.4   1.7
60143.91575248609  -35121.1   3.5    1124465   16275  183.1   1.5
60145.91562717129  -35115.4   3.4    1096146   16217  181.0   1.5
60146.90608884161  -35117.3   3.0    1016292   14126  172.3   1.3
60147.89856654557  -35116.7   2.9    1015403   13690  171.4   1.3
60148.90079811483  -35130.0   3.3    1143543   15527  186.6   1.5
60150.87936321984  -35132.7   3.0    1034796   13990  175.4   1.3
60151.85445166461  -35120.0   3.6    1143537   16899  188.7   1.6
60152.85219879239  -35119.1   2.9    1033258   13712  173.0   1.3
60158.90621483163  -35120.6   3.1    1089854   14656  179.4   1.4
60181.75132531265  -35115.7   3.0    1051341   14034  178.3   1.3
60184.74951161724  -35111.9   3.0    1066578   13896  179.6   1.3
60187.74822582130  -35121.9   4.5    1470577   21219  220.8   2.0
60387.10762054636  -35127.1   2.8     973335   13044  165.4   1.3
60388.14037781360  -35129.2   2.8     951096   13124  162.7   1.3
60389.09681845922  -35124.7   2.8     946388   13008  163.0   1.2
60391.09538975393  -35137.1   3.3    1102841   15185  181.2   1.5
60392.11964324804  -35126.4   2.8     990967   13059  168.6   1.3
60393.10653650365  -35126.9   3.0    1033087   14003  173.9   1.3
60395.11260207195  -35131.2   3.4     919416   14594  160.6   1.4
60397.08103609434  -35129.3   3.0     948822   14033  163.5   1.3
60399.06643707887  -35119.5   2.9     989303   13316  169.8   1.3
60400.05842279061  -35125.2   2.8     959851   13193  165.6   1.3
60401.09574145381  -35126.4   2.8     957838   12998  164.2   1.2
60402.05950443016  -35133.8   2.8     981678   13102  166.7   1.3
60405.10167781601  -35129.1   2.9     997655   13467  170.0   1.3
60423.03917721356  -35124.4   2.9    1041803   13606  175.7   1.3
60424.98465362797  -35130.9   2.9    1017317   13393  174.5   1.3
60427.97532302083  -35134.1   2.8     973509   13299  166.6   1.3
60429.01545460557  -35122.8   3.0    1033233   13999  175.3   1.3
60429.99920315284  -35131.3   3.8    1108003   17774  183.9   1.7
60432.03406462516  -35132.6   2.9    1025018   13641  175.3   1.3
60486.04175467196  -35125.7   3.1    1073089   14544  179.1   1.4
60516.90946843906  -35119.0   3.1     975208   14452  168.1   1.4
60517.92934803257  -35132.8   3.1     984850   14229  163.9   1.4
60538.82637093402  -35125.4   3.0    1045451   13986  174.4   1.3
60539.79633503477  -35117.5   3.2    1074398   15109  182.3   1.4
60540.75697807141  -35123.5   2.9    1029308   13767  175.3   1.3
60542.76159867819  -35117.5   3.2    1064244   14840  179.7   1.4
60543.76237627491  -35125.3   3.0    1048703   14082  177.8   1.3
60571.75221074338  -35123.5   3.0    1025242   14174  175.1   1.4
60573.72385519138  -35129.2   3.0     971321   13927  170.4   1.3
60575.73083221191  -35124.4   3.6    1100659   16949  184.2   1.6
60577.73648376472  -35123.9   3.2    1105202   15068  184.4   1.4
