rjd,bl,sbl
58759.09935209993,-15.7,12.8
58761.99134670012,-15.0,11.6
58762.98247590009,11.1,10.1
58766.03934600018,-3.7,11.8
58770.12227910012,6.1,11.1
58771.03859000001,-4.2,11.5
58772.07261440018,23.5,12.4
58773.015654799994,-4.0,13.0
58787.98473750008,-13.5,11.4
58788.99262529984,-16.2,13.6
58792.06783200009,23.3,10.2
58793.02585580014,-7.8,11.9
58797.96267929999,15.0,10.8
58798.95286029996,12.5,11.6
58828.92249519983,6.6,9.6
60572.07217160007,-4.4,7.8
60575.0850240998,-5.4,7.9
60577.00752669992,-16.3,9.6
60595.99285619985,-10.8,7.9
60597.11549000023,-4.0,7.3
60598.132183200214,-25.9,8.9
60598.98116829991,-9.1,7.6
60600.043256999925,-0.1,10.9
60603.05788950017,1.1,8.9
60604.060488100164,3.4,7.7
60605.05191749986,-19.6,8.5
60608.04487420013,-16.6,8.0
60609.05879550008,-21.0,10.1
60610.08260159986,-30.4,8.1
60625.89805399999,-16.2,7.6
60627.84269789979,-5.8,8.7
60637.00644489983,-12.6,9.4
60651.9564255001,1.0,7.7
60654.870455500204,-11.7,8.7
60656.80643829983,7.7,10.2
60658.84242739994,15.4,9.0
60664.79981489992,-13.9,9.1
60665.85827540001,-5.6,8.3
60666.825753299985,-14.4,7.9
