rjd,rv,rv_err,dlW,dlW_err,dtemp,dtemp_err
58759.09935211623,-7388.71465029688,5.037913048998581,309562.04146419605,25255.58896600964,106.31247555642334,1.6247206332098396
58761.99134665553,-7371.359778010516,4.494778520456363,273800.72794604505,22617.942096081508,111.5026436990454,1.4439849714313016
58762.98247594701,-7399.763554682912,4.323447909995147,207012.70736824896,21660.193935039835,114.97804304694624,1.4363507707714531
58766.03934601613,-7379.576589825821,4.491969165824989,282112.7118533984,22630.699069677143,116.14784822730635,1.513021517010202
58770.12227910489,-7367.3817821397,4.389523424043468,295818.0294177512,22107.821861872988,111.36232519402697,1.4543957516090982
58771.038589979406,-7389.816823607092,4.3711244718931,179102.34297716533,21951.89111922634,112.49553853258784,1.4802019414863992
58772.07261437643,-7398.4302458383345,4.756384694003726,326749.5977565536,23904.356516546675,112.54639561952712,1.5760033431040876
58773.01565478789,-7372.806628257899,4.633147873955664,241551.5126202261,23179.649863037725,111.37427325789916,1.5656719060936224
58787.98473750451,-7399.393702798985,4.246247459799572,245202.0498820256,21398.088308030405,104.21906349204971,1.3881703617769303
58788.99262533826,-7385.697310625158,4.511109987953157,324731.6374719201,22655.32202205041,104.541986983168,1.465887359808281
58792.06783200451,-7388.355190141404,4.462646296398219,158896.08822655038,22479.30296732325,113.99599264412106,1.481706404181117
58793.02585578966,-7381.976538628024,4.470596312171358,225339.14109858865,22477.69926953134,116.51815189130132,1.508687620148371
58797.96267929592,-7370.732585861342,4.527368602681708,303967.6631786361,22768.00275141689,121.7739248537018,1.513435015220156
60572.072171641164,-7378.040933990407,3.5277901222237364,36962.11998676847,17721.897242696505,111.26486382461592,1.1789329162313076
60575.0850240764,-7392.038855566687,3.652306196804995,28585.356927797737,18372.72932033458,113.26697493395622,1.226131043919496
60577.0075266608,-7364.769927204111,3.5798042727460504,55832.13587254537,18054.204419976795,114.70675666609507,1.194077665304136
60595.99285623478,-7381.660895035291,3.6392972666913455,-663.284770394394,18318.408814871054,109.42524402130653,1.2628192336852644
60597.11549003422,-7369.325254954092,3.753430738924385,54787.13650784107,18932.636921648587,107.9483736781456,1.2897004808719472
60598.13218317565,-7389.455199421697,3.623984524550012,34943.900939554085,18232.804155954145,107.05414799082374,1.211554502157273
60598.98116828827,-7406.330173621199,3.5762535666584303,-36822.80580559302,18026.528308390945,107.21189703647656,1.2210702373880586
60600.04325698351,-7384.304316438788,4.164778419142267,132657.8790985474,20941.10264563893,110.3822859524415,1.3792038518233642
60603.057889544405,-7408.712525553593,3.696888566906096,35715.925467267545,18614.594377496887,109.07262616785864,1.2272150480993662
60604.06048811518,-7398.041164917669,3.55672557164668,26453.549197760924,17806.31258414634,111.35689942853142,1.195925489514463
60605.05191751651,-7377.023219255554,3.57340001766836,10289.36039410757,17893.08362090155,111.83988465630225,1.1969205027054348
60608.04487416777,-7404.16637367374,3.6504327465790674,-18012.63145147413,18502.75903094587,116.1702671248094,1.2765758608534563
60609.035709102405,-7378.955145545444,3.057437233547463,88149.91137165374,22681.52158648444,115.22167636866396,1.491459096886759
60610.08260163374,-7383.978225966513,4.043844328515038,4976.131572420788,19389.186802353102,116.9658568892286,1.3429311633157064
60625.89805396646,-7365.870533118819,3.6125465934423806,56663.01259367802,18177.2314610477,110.42441729339812,1.2240229709842856
60627.84269790386,-7401.582359246873,3.6426823213391306,29686.41636314849,18243.43389224249,109.20290500915478,1.249900761364754
